run_id	index	total	runs	algorithm	folder	returncode	elapsed_s
20260508-182702	34	90	10	lz4hc	image_sources/photos/122x250	0	0.310
20260508-182702	35	90	10	lz4	image_sources/photos/128x296	0	0.191
20260508-182702	36	90	10	lz4hc	image_sources/photos/128x296	0	0.374
20260508-182702	37	90	10	lz4	image_sources/photos/1360x480	0	0.453
20260508-182702	39	90	10	lz4	image_sources/photos/152x296	0	0.159
20260508-182702	24	90	10	lz4hc	image_sources/generated/600x448	0	3.175
20260508-182702	40	90	10	lz4hc	image_sources/photos/152x296	0	0.406
20260508-182702	26	90	10	lz4hc	image_sources/generated/648x480	0	3.510
20260508-182702	41	90	10	lz4	image_sources/photos/1600x1200	0	0.958
20260508-182702	8	90	10	lz4hc	image_sources/generated/1360x480	0	6.108
20260508-182702	45	90	10	lz4	image_sources/photos/200x200	0	0.188
20260508-182702	46	90	10	lz4hc	image_sources/photos/200x200	0	0.376
20260508-182702	43	90	10	lz4	image_sources/photos/1872x1404	0	1.248
20260508-182702	32	90	10	lz4hc	image_sources/photos/1024x576	0	3.745
20260508-182702	49	90	10	lz4	image_sources/photos/296x128	0	0.154
20260508-182702	28	90	10	lz4hc	image_sources/generated/800x480	0	5.013
20260508-182702	51	90	10	lz4	image_sources/photos/400x300	0	0.214
20260508-182702	50	90	10	lz4hc	image_sources/photos/296x128	0	0.382
20260508-182702	53	90	10	lz4	image_sources/photos/600x448	0	0.259
20260508-182702	2	90	10	lz4hc	image_sources/generated/1024x576	0	8.253
20260508-182702	47	90	10	lz4	image_sources/photos/2560x1440	0	1.663
20260508-182702	38	90	10	lz4hc	image_sources/photos/1360x480	0	3.997
20260508-182702	55	90	10	lz4	image_sources/photos/648x480	0	0.274
20260508-182702	52	90	10	lz4hc	image_sources/photos/400x300	0	0.811
20260508-182702	57	90	10	lz4	image_sources/photos/800x480	0	0.405
20260508-182702	59	90	10	lz4	image_sources/photos/960x640	0	0.474
20260508-182702	61	90	10	lz4	image_sources/stress/1024x576	0	0.478
20260508-182702	54	90	10	lz4hc	image_sources/photos/600x448	0	1.911
20260508-182702	30	90	10	lz4hc	image_sources/generated/960x640	0	7.153
20260508-182702	63	90	10	lz4	image_sources/stress/122x250	0	0.243
20260508-182702	65	90	10	lz4	image_sources/stress/128x296	0	0.216
20260508-182702	64	90	10	lz4hc	image_sources/stress/122x250	0	0.331
20260508-182702	56	90	10	lz4hc	image_sources/photos/648x480	0	2.265
20260508-182702	66	90	10	lz4hc	image_sources/stress/128x296	0	0.407
20260508-182702	67	90	10	lz4	image_sources/stress/1360x480	0	0.441
20260508-182702	69	90	10	lz4	image_sources/stress/152x296	0	0.323
20260508-182702	70	90	10	lz4hc	image_sources/stress/152x296	0	0.436
20260508-182702	58	90	10	lz4hc	image_sources/photos/800x480	0	3.001
20260508-182702	62	90	10	lz4hc	image_sources/stress/1024x576	0	2.204
20260508-182702	71	90	10	lz4	image_sources/stress/1600x1200	0	0.859
20260508-182702	75	90	10	lz4	image_sources/stress/200x200	0	0.261
20260508-182702	73	90	10	lz4	image_sources/stress/1872x1404	0	1.041
20260508-182702	76	90	10	lz4hc	image_sources/stress/200x200	0	0.423
20260508-182702	68	90	10	lz4hc	image_sources/stress/1360x480	0	2.134
20260508-182702	79	90	10	lz4	image_sources/stress/296x128	0	0.263
20260508-182702	60	90	10	lz4hc	image_sources/photos/960x640	0	4.399
20260508-182702	80	90	10	lz4hc	image_sources/stress/296x128	0	0.398
20260508-182702	81	90	10	lz4	image_sources/stress/400x300	0	0.301
20260508-182702	77	90	10	lz4	image_sources/stress/2560x1440	0	1.277
20260508-182702	83	90	10	lz4	image_sources/stress/600x448	0	0.323
20260508-182702	82	90	10	lz4hc	image_sources/stress/400x300	0	0.635
20260508-182702	85	90	10	lz4	image_sources/stress/648x480	0	0.343
20260508-182702	87	90	10	lz4	image_sources/stress/800x480	0	0.336
