
===== [20260508-142929 8/225] g5 image_sources/generated/122x250 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
brotli q9-w15 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 511 5.39% 0.116
brotli q9-w10 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 485 10.24% 0.079
brotli q9-w12 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 485 10.24% 0.075
brotli q9-w15 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 485 10.24% 0.060
brotli q9-w10 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1286 6.79% 0.164
brotli q9-w12 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1297 6.85% 0.199
brotli q9-w15 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1296 6.84% 0.242
brotli q9-w10 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 900 9.50% 0.134
brotli q9-w12 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 907 9.58% 0.143
brotli q9-w15 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 907 9.58% 0.141
brotli q9-w10 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 427 9.02% 0.080
brotli q9-w12 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 430 9.08% 0.088
brotli q9-w15 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 430 9.08% 0.168
brotli q9-w10 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 1886 9.96% 0.239
brotli q9-w12 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 1899 10.02% 0.202
brotli q9-w15 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 1899 10.02% 0.194
brotli q9-w10 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1012 10.68% 0.136
brotli q9-w12 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1026 10.83% 0.180
brotli q9-w15 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1026 10.83% 0.167
brotli q9-w10 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 445 9.40% 0.075
brotli q9-w12 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 448 9.46% 0.223
brotli q9-w15 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 448 9.46% 0.089
average_ratio=6.84%

===== [20260508-142929 10/225] zstd image_sources/generated/122x250 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zstd l19-w10 dashboard-mixed-density.gray16.122x250.bs-od 122x250 15250 966 6.33% 0.778
zstd l19-w12 dashboard-mixed-density.gray16.122x250.bs-od 122x250 15250 893 5.86% 0.832
zstd l19-w15 dashboard-mixed-density.gray16.122x250.bs-od 122x250 15250 831 5.45% 1.624
zstd l19-w10 dashboard-mixed-density.gray4.122x250.bs-od 122x250 7750 697 8.99% 0.478
zstd l19-w12 dashboard-mixed-density.gray4.122x250.bs-od 122x250 7750 626 8.08% 0.694
zstd l19-w15 dashboard-mixed-density.gray4.122x250.bs-od 122x250 7750 590 7.61% 0.888
zstd l19-w10 dashboard-mixed-density.mono.122x250.bs-od 122x250 4000 341 8.53% 0.197
zstd l19-w12 dashboard-mixed-density.mono.122x250.bs-od 122x250 4000 301 7.52% 0.355
zstd l19-w15 dashboard-mixed-density.mono.122x250.bs-od 122x250 4000 301 7.52% 0.364
zstd l19-w10 floorplan-thin-lines.gray16.122x250.bs-od 122x250 15250 438 2.87% 0.669
zstd l19-w12 floorplan-thin-lines.gray16.122x250.bs-od 122x250 15250 355 2.33% 0.792
zstd l19-w15 floorplan-thin-lines.gray16.122x250.bs-od 122x250 15250 337 2.21% 1.349
zstd l19-w10 floorplan-thin-lines.gray4.122x250.bs-od 122x250 7750 318 4.10% 0.478
zstd l19-w12 floorplan-thin-lines.gray4.122x250.bs-od 122x250 7750 232 2.99% 0.519
zstd l19-w15 floorplan-thin-lines.gray4.122x250.bs-od 122x250 7750 208 2.68% 0.559
zstd l19-w10 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 161 4.03% 0.255
zstd l19-w12 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 128 3.20% 0.530
zstd l19-w15 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 128 3.20% 0.599
zstd l19-w10 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 1656 10.86% 0.695
zstd l19-w12 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 1542 10.11% 0.723
zstd l19-w15 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 1467 9.62% 1.626
zstd l19-w10 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 875 11.29% 0.322
zstd l19-w12 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 828 10.68% 0.595
zstd l19-w15 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 777 10.03% 0.599
zstd l19-w10 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 391 9.78% 0.309
zstd l19-w12 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 347 8.67% 0.411
zstd l19-w15 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 347 8.67% 0.352
zstd l19-w10 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 536 3.51% 1.087
zstd l19-w12 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 476 3.12% 0.626
zstd l19-w15 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 443 2.90% 1.440
zstd l19-w10 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 443 5.72% 0.672
zstd l19-w12 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 369 4.76% 0.643
zstd l19-w15 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 355 4.58% 0.678
zstd l19-w10 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 274 6.85% 0.205
zstd l19-w12 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 236 5.90% 0.453
zstd l19-w15 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 236 5.90% 0.370
zstd l19-w10 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 730 4.79% 0.603
zstd l19-w12 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 662 4.34% 0.638
zstd l19-w15 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 624 4.09% 1.105
zstd l19-w10 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 529 6.83% 0.355
zstd l19-w12 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 451 5.82% 0.577
zstd l19-w15 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 435 5.61% 1.005
zstd l19-w10 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 382 9.55% 0.166
zstd l19-w12 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 339 8.48% 0.450
zstd l19-w15 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 339 8.48% 0.341
zstd l19-w10 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 1564 10.26% 0.770
zstd l19-w12 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 1448 9.50% 0.620
zstd l19-w15 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 1387 9.10% 1.167
zstd l19-w10 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 843 10.88% 0.298
zstd l19-w12 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 768 9.91% 0.419
zstd l19-w15 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 737 9.51% 0.984
zstd l19-w10 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 392 9.80% 0.180
