
===== [20260508-135727 1/45] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l1-ws9 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1516 8.00% 0.519
zlib l6-ws9 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1330 7.02% 0.637
zlib l1-ws10 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1552 8.19% 0.239
zlib l6-ws10 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1341 7.08% 0.506
zlib l9-ws10 status-panel-large-numbers.gray16.128x296.bs-od 128x296 18944 1340 7.07% 0.345
zlib l1-ws9 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 970 10.24% 0.289
zlib l6-ws9 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 904 9.54% 0.295
zlib l1-ws10 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 1002 10.58% 0.121
zlib l6-ws10 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 909 9.60% 0.276
zlib l9-ws10 status-panel-large-numbers.gray4.128x296.bs-od 128x296 9472 907 9.58% 0.233
zlib l1-ws9 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 466 9.84% 0.102
zlib l6-ws9 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 429 9.06% 0.137
zlib l1-ws10 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 479 10.11% 0.072
zlib l6-ws10 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 433 9.14% 0.091
zlib l9-ws10 status-panel-large-numbers.mono.128x296.bs-od 128x296 4736 431 9.10% 0.222
zlib l1-ws9 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 2057 10.86% 0.507
zlib l6-ws9 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 1948 10.28% 0.478
zlib l1-ws10 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 2116 11.17% 0.263
zlib l6-ws10 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 1963 10.36% 0.360
zlib l9-ws10 text-glyph-density-grid.gray16.128x296.bs-od 128x296 18944 1962 10.36% 0.444
zlib l1-ws9 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1085 11.45% 0.261
zlib l6-ws9 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1032 10.90% 0.262
zlib l1-ws10 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1118 11.80% 0.139
zlib l6-ws10 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1048 11.06% 0.235
zlib l9-ws10 text-glyph-density-grid.gray4.128x296.bs-od 128x296 9472 1044 11.02% 0.334
zlib l1-ws9 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 489 10.33% 0.170
zlib l6-ws9 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 455 9.61% 0.122
zlib l1-ws10 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 501 10.58% 0.077
zlib l6-ws10 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 458 9.67% 0.130
zlib l9-ws10 text-glyph-density-grid.mono.128x296.bs-od 128x296 4736 457 9.65% 0.127
average_ratio=7.51%

===== [20260508-135727 4/45] zlib image_sources/generated/1360x480 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l1-ws9 dashboard-mixed-density.gray16.1360x480.bs-od 1360x480 326400 40012 12.26% 11.199
zlib l6-ws9 dashboard-mixed-density.gray16.1360x480.bs-od 1360x480 326400 37574 11.51% 10.182
zlib l1-ws10 dashboard-mixed-density.gray16.1360x480.bs-od 1360x480 326400 40504 12.41% 4.511
zlib l6-ws10 dashboard-mixed-density.gray16.1360x480.bs-od 1360x480 326400 35998 11.03% 6.946
zlib l9-ws10 dashboard-mixed-density.gray16.1360x480.bs-od 1360x480 326400 34312 10.51% 10.623
zlib l1-ws9 dashboard-mixed-density.gray4.1360x480.bs-od 1360x480 163200 24791 15.19% 4.443
zlib l6-ws9 dashboard-mixed-density.gray4.1360x480.bs-od 1360x480 163200 22772 13.95% 5.204
zlib l1-ws10 dashboard-mixed-density.gray4.1360x480.bs-od 1360x480 163200 23525 14.41% 2.244
zlib l6-ws10 dashboard-mixed-density.gray4.1360x480.bs-od 1360x480 163200 21321 13.06% 3.752
zlib l9-ws10 dashboard-mixed-density.gray4.1360x480.bs-od 1360x480 163200 20231 12.40% 9.049
zlib l1-ws9 dashboard-mixed-density.mono.1360x480.bs-od 1360x480 81600 12256 15.02% 1.984
zlib l6-ws9 dashboard-mixed-density.mono.1360x480.bs-od 1360x480 81600 10915 13.38% 2.588
zlib l1-ws10 dashboard-mixed-density.mono.1360x480.bs-od 1360x480 81600 11893 14.57% 1.174
zlib l6-ws10 dashboard-mixed-density.mono.1360x480.bs-od 1360x480 81600 10409 12.76% 1.753
zlib l9-ws10 dashboard-mixed-density.mono.1360x480.bs-od 1360x480 81600 9782 11.99% 4.260
zlib l1-ws9 floorplan-thin-lines.gray16.1360x480.bs-od 1360x480 326400 14779 4.53% 7.039
zlib l6-ws9 floorplan-thin-lines.gray16.1360x480.bs-od 1360x480 326400 12602 3.86% 8.286
zlib l1-ws10 floorplan-thin-lines.gray16.1360x480.bs-od 1360x480 326400 13506 4.14% 5.259
zlib l6-ws10 floorplan-thin-lines.gray16.1360x480.bs-od 1360x480 326400 11014 3.37% 5.946
zlib l9-ws10 floorplan-thin-lines.gray16.1360x480.bs-od 1360x480 326400 9248 2.83% 11.491
zlib l1-ws9 floorplan-thin-lines.gray4.1360x480.bs-od 1360x480 163200 9838 6.03% 3.544
zlib l6-ws9 floorplan-thin-lines.gray4.1360x480.bs-od 1360x480 163200 8500 5.21% 7.582
zlib l1-ws10 floorplan-thin-lines.gray4.1360x480.bs-od 1360x480 163200 8855 5.43% 2.304
zlib l6-ws10 floorplan-thin-lines.gray4.1360x480.bs-od 1360x480 163200 7226 4.43% 2.519
zlib l9-ws10 floorplan-thin-lines.gray4.1360x480.bs-od 1360x480 163200 5918 3.63% 4.774
zlib l1-ws9 floorplan-thin-lines.mono.1360x480.bs-od 1360x480 81600 5643 6.92% 1.911
zlib l6-ws9 floorplan-thin-lines.mono.1360x480.bs-od 1360x480 81600 3935 4.82% 2.189
zlib l1-ws10 floorplan-thin-lines.mono.1360x480.bs-od 1360x480 81600 5416 6.64% 0.985
zlib l6-ws10 floorplan-thin-lines.mono.1360x480.bs-od 1360x480 81600 3829 4.69% 1.678
zlib l9-ws10 floorplan-thin-lines.mono.1360x480.bs-od 1360x480 81600 3050 3.74% 2.743
zlib l1-ws9 menu-board-text-heavy.gray16.1360x480.bs-od 1360x480 326400 69768 21.38% 8.470
zlib l6-ws9 menu-board-text-heavy.gray16.1360x480.bs-od 1360x480 326400 64968 19.90% 11.314
zlib l1-ws10 menu-board-text-heavy.gray16.1360x480.bs-od 1360x480 326400 71046 21.77% 5.714
zlib l6-ws10 menu-board-text-heavy.gray16.1360x480.bs-od 1360x480 326400 63740 19.53% 10.342
zlib l9-ws10 menu-board-text-heavy.gray16.1360x480.bs-od 1360x480 326400 63130 19.34% 11.759
zlib l1-ws9 menu-board-text-heavy.gray4.1360x480.bs-od 1360x480 163200 36312 22.25% 7.209
zlib l6-ws9 menu-board-text-heavy.gray4.1360x480.bs-od 1360x480 163200 34335 21.04% 7.077
zlib l1-ws10 menu-board-text-heavy.gray4.1360x480.bs-od 1360x480 163200 36875 22.59% 2.857
zlib l6-ws10 menu-board-text-heavy.gray4.1360x480.bs-od 1360x480 163200 33955 20.81% 6.156
zlib l9-ws10 menu-board-text-heavy.gray4.1360x480.bs-od 1360x480 163200 33012 20.23% 8.223
zlib l1-ws9 menu-board-text-heavy.mono.1360x480.bs-od 1360x480 81600 16381 20.07% 2.819
zlib l6-ws9 menu-board-text-heavy.mono.1360x480.bs-od 1360x480 81600 14780 18.11% 3.880
zlib l1-ws10 menu-board-text-heavy.mono.1360x480.bs-od 1360x480 81600 16623 20.37% 2.061
zlib l6-ws10 menu-board-text-heavy.mono.1360x480.bs-od 1360x480 81600 14877 18.23% 2.698
zlib l9-ws10 menu-board-text-heavy.mono.1360x480.bs-od 1360x480 81600 14192 17.39% 6.381
zlib l1-ws9 price-label-barcode-layout.gray16.1360x480.bs-od 1360x480 326400 16262 4.98% 7.885
zlib l6-ws9 price-label-barcode-layout.gray16.1360x480.bs-od 1360x480 326400 14783 4.53% 11.760
zlib l1-ws10 price-label-barcode-layout.gray16.1360x480.bs-od 1360x480 326400 16674 5.11% 4.432
zlib l6-ws10 price-label-barcode-layout.gray16.1360x480.bs-od 1360x480 326400 13865 4.25% 5.485
zlib l9-ws10 price-label-barcode-layout.gray16.1360x480.bs-od 1360x480 326400 13202 4.04% 7.782
zlib l1-ws9 price-label-barcode-layout.gray4.1360x480.bs-od 1360x480 163200 11312 6.93% 3.795
zlib l6-ws9 price-label-barcode-layout.gray4.1360x480.bs-od 1360x480 163200 11230 6.88% 3.930
zlib l1-ws10 price-label-barcode-layout.gray4.1360x480.bs-od 1360x480 163200 11215 6.87% 1.998
zlib l6-ws10 price-label-barcode-layout.gray4.1360x480.bs-od 1360x480 163200 10643 6.52% 2.532
zlib l9-ws10 price-label-barcode-layout.gray4.1360x480.bs-od 1360x480 163200 10306 6.31% 3.235
zlib l1-ws9 price-label-barcode-layout.mono.1360x480.bs-od 1360x480 81600 5671 6.95% 1.816
zlib l6-ws9 price-label-barcode-layout.mono.1360x480.bs-od 1360x480 81600 4987 6.11% 1.985
zlib l1-ws10 price-label-barcode-layout.mono.1360x480.bs-od 1360x480 81600 4884 5.99% 0.932
zlib l6-ws10 price-label-barcode-layout.mono.1360x480.bs-od 1360x480 81600 4107 5.03% 1.151
zlib l9-ws10 price-label-barcode-layout.mono.1360x480.bs-od 1360x480 81600 3813 4.67% 1.629
zlib l1-ws9 price-tag-electronics-promo.gray16.1360x480.bs-od 1360x480 326400 17127 5.25% 7.038
zlib l6-ws9 price-tag-electronics-promo.gray16.1360x480.bs-od 1360x480 326400 15986 4.90% 7.881
zlib l1-ws10 price-tag-electronics-promo.gray16.1360x480.bs-od 1360x480 326400 17105 5.24% 5.231
zlib l6-ws10 price-tag-electronics-promo.gray16.1360x480.bs-od 1360x480 326400 14380 4.41% 7.338
zlib l9-ws10 price-tag-electronics-promo.gray16.1360x480.bs-od 1360x480 326400 13788 4.22% 8.357
zlib l1-ws9 price-tag-electronics-promo.gray4.1360x480.bs-od 1360x480 163200 12290 7.53% 3.743
zlib l6-ws9 price-tag-electronics-promo.gray4.1360x480.bs-od 1360x480 163200 11840 7.25% 4.161
zlib l1-ws10 price-tag-electronics-promo.gray4.1360x480.bs-od 1360x480 163200 11158 6.84% 1.888
zlib l6-ws10 price-tag-electronics-promo.gray4.1360x480.bs-od 1360x480 163200 10136 6.21% 2.552
zlib l9-ws10 price-tag-electronics-promo.gray4.1360x480.bs-od 1360x480 163200 9583 5.87% 3.292
zlib l1-ws9 price-tag-electronics-promo.mono.1360x480.bs-od 1360x480 81600 9473 11.61% 1.812
