status,algorithm,variant,input_file,output_file,width,height,input_bytes,compressed_bytes,ratio,avg_ms,runs,error
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.l9-ws10.dat,1024,576,147456,46407,0.31471761,8.634845,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.zlib.l1-ws9.dat,1024,576,73728,22916,0.31081814,2.413454,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.zlib.l6-ws9.dat,1024,576,73728,20461,0.27752007,4.330229,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.zlib.l1-ws10.dat,1024,576,73728,23088,0.31315104,1.904389,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.zlib.l6-ws10.dat,1024,576,73728,20480,0.27777778,3.591316,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.mono.1024x576.zlib.l9-ws10.dat,1024,576,73728,19918,0.27015516,7.365519,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.zlib.l1-ws9.dat,1024,576,294912,24760,0.08395725,8.832316,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.zlib.l6-ws9.dat,1024,576,294912,22688,0.07693142,8.411325,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.zlib.l1-ws10.dat,1024,576,294912,24212,0.08209907,4.880619,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.zlib.l6-ws10.dat,1024,576,294912,21062,0.07141791,6.202716,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray16.1024x576.zlib.l9-ws10.dat,1024,576,294912,20365,0.0690545,9.145894,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.zlib.l1-ws9.dat,1024,576,147456,16639,0.11284044,5.172635,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.zlib.l6-ws9.dat,1024,576,147456,16196,0.10983615,5.975043,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.zlib.l1-ws10.dat,1024,576,147456,15822,0.1072998,2.642455,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.zlib.l6-ws10.dat,1024,576,147456,15253,0.10344103,2.338241,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.gray4.1024x576.zlib.l9-ws10.dat,1024,576,147456,14522,0.09848362,3.804445,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.zlib.l1-ws9.dat,1024,576,73728,8681,0.1177436,3.265695,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.zlib.l6-ws9.dat,1024,576,73728,7837,0.10629612,2.562542,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.zlib.l1-ws10.dat,1024,576,73728,7627,0.10344781,0.995881,3,
