
===== [1/135] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l9-ws9 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 377 9.43% 0.108
zlib l9-ws12 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 377 9.43% 0.096
zlib l9-ws15 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 377 9.43% 0.130
zlib current price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 658 4.31% 0.058
zlib l9-ws9 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 640 4.20% 0.390
zlib l9-ws12 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 632 4.14% 0.300
zlib l9-ws15 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 632 4.14% 0.372
zlib current price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 481 6.21% 0.041
zlib l9-ws9 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 479 6.18% 0.166
zlib l9-ws12 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 469 6.05% 0.270
zlib l9-ws15 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 469 6.05% 0.280
zlib current price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 486 12.15% 0.056
zlib l9-ws9 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 482 12.05% 0.120
zlib l9-ws12 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 482 12.05% 0.223
zlib l9-ws15 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 482 12.05% 0.250
zlib current status-panel-large-numbers.gray16.122x250.bs-od 122x250 15250 1217 7.98% 0.145
zlib l9-ws9 status-panel-large-numbers.gray16.122x250.bs-od 122x250 15250 1191 7.81% 0.379
zlib l9-ws12 status-panel-large-numbers.gray16.122x250.bs-od 122x250 15250 1219 7.99% 0.232
zlib l9-ws15 status-panel-large-numbers.gray16.122x250.bs-od 122x250 15250 1219 7.99% 0.261
zlib current status-panel-large-numbers.gray4.122x250.bs-od 122x250 7750 869 11.21% 0.069
zlib l9-ws9 status-panel-large-numbers.gray4.122x250.bs-od 122x250 7750 849 10.95% 0.180
zlib l9-ws12 status-panel-large-numbers.gray4.122x250.bs-od 122x250 7750 865 11.16% 0.574
zlib l9-ws15 status-panel-large-numbers.gray4.122x250.bs-od 122x250 7750 865 11.16% 0.651
zlib current status-panel-large-numbers.mono.122x250.bs-od 122x250 4000 427 10.67% 0.065
zlib l9-ws9 status-panel-large-numbers.mono.122x250.bs-od 122x250 4000 419 10.47% 0.099
zlib l9-ws12 status-panel-large-numbers.mono.122x250.bs-od 122x250 4000 423 10.57% 0.208
zlib l9-ws15 status-panel-large-numbers.mono.122x250.bs-od 122x250 4000 423 10.57% 0.229
zlib current text-glyph-density-grid.gray16.122x250.bs-od 122x250 15250 1705 11.18% 0.156
zlib l9-ws9 text-glyph-density-grid.gray16.122x250.bs-od 122x250 15250 1665 10.92% 0.354
zlib l9-ws12 text-glyph-density-grid.gray16.122x250.bs-od 122x250 15250 1707 11.19% 0.233
zlib l9-ws15 text-glyph-density-grid.gray16.122x250.bs-od 122x250 15250 1707 11.19% 0.231
zlib current text-glyph-density-grid.gray4.122x250.bs-od 122x250 7750 945 12.19% 0.070
zlib l9-ws9 text-glyph-density-grid.gray4.122x250.bs-od 122x250 7750 930 12.00% 0.187
zlib l9-ws12 text-glyph-density-grid.gray4.122x250.bs-od 122x250 7750 937 12.09% 0.378
zlib l9-ws15 text-glyph-density-grid.gray4.122x250.bs-od 122x250 7750 937 12.09% 0.397
zlib current text-glyph-density-grid.mono.122x250.bs-od 122x250 4000 398 9.95% 0.060
